name,close,MarKetCap
decentraland,2.83,5157621883
the sandbox,4.1,3794340091
axie infinity,52.28,3184118467
theta network,2.95,2946144116
enjin coin,1.8900000000000001,1609997474
wax,0.33140000000000003,635727162
sushiswap,4.23,538454217
ontology,0.485,424467685
illuvium,607.96,390850769
chromia,0.5449,309141602
ultra,1.08,306781377
vulcan forged pyr,11.56,276358511
playdapp,0.9292,280826254
ceek vr,0.3426,254952622
yield guild games,3.05,259862316
bloktopia,0.02927,244113147
myneighboralice,6.93,211938510
wemix,6.15,758282741
radio caca,0.0021100000000000003,402783142
metahero,0.05383,274306402
ufo gaming,9.625e-06,247922679
lukso,16.27,247460124
mobox,2.7,215577466
dvision network,0.6768000000000001,206624882
deapcoin,0.04152,170188168
rmrk,16.84,159986160
phantasma,1.53,158882921
wilder world,1.52,127089214
aavegotchi,2.02,125689309
star atlas,0.053320000000000006,115170702
decentral games old,302.86,105000887
alien worlds,0.1105,101025785
verasity,0.020040000000000002,89572363
terra virtua kolect,0.1278,86975666
somnium space cubes,6.98,87208463
aurory,8.7,83538047
highstreet,6.59,81036419
derace,1.6,61988067
ethernity chain,5.05,65681477
boson protocol,0.8976000000000001,62419317
gamefi,62.4,62283766
atari token,0.03857,57120377
adshares,2.03,44389123
bosagora,0.1285,39021327
epik prime,0.14850000000000002,34815333
newscrypto,0.21980000000000002,33059425
vempire ddao,0.1073,18636924
gamecredits,0.1051,19186446
medacoin,0.0002517,16267590
blockchain monster hunt,0.4112,16730194
decentral games ice,0.1446,15805757
milc platform,0.1943,15349745
torum,0.2682,14045571
darwinia network,0.02543,12946701
xaya,0.25320000000000004,12269270
senso,0.8957,10964854
faraland,0.47890000000000005,10293092
revomon,0.40850000000000003,10135774
mogul productions,0.03277,10049095
trias token,5.66,9058952
shirtum,0.07582000000000001,8794402
juggernaut,0.2134,8443167
arcona,0.48040000000000005,7366564
monsta infinite,0.4035,6939773
defina finance,0.9427000000000001,7076551
kalao,0.2223,6673172
zookeeper,0.06384000000000001,6520684
deepspace,0.1218,6442129
onooks,0.5119,5594115
dotmoovs,0.01003,4975490
vibe,0.018260000000000002,4749881
polker,0.057490000000000006,4653181
chronicle,0.2359,4547513
revolve games,0.20140000000000002,3706832
legend of fantasy war,0.447,3440539
polkawar,0.13440000000000002,3370455
spheroid universe,0.046520000000000006,3216368
mist,0.058300000000000005,3285766
monavale,317.32,2979947
locgame,0.059530000000000007,2989016
rune shards,0.014750000000000001,2675019
acknoledger,0.15360000000000001,2442391
darwinia commitment token,48.31,1805618
etna network,0.1254,1514754
jade currency,0.025720000000000003,1379748
